id,city,brand,prod_year,color,usage,body_cond,engine_cond,front_chassis,back_chassis,tpi,gearbox,price
wYzCSxGA,mashhad,peugeot20602,1400,dimgray,31000,intact,healthy,intact,intact,n/a,manual,420000000
wYzmhS4g,mashhad,peugeot20602,1381,huntergreen,400000,colored,healthy,intact,intact,7,manual,139000000
wYzCBnN1,mashhad,peugeot20602,1395,white,186000,colored,healthy,intact,intact,6,manual,307000000
wYwCBEY3,mashhad,peugeot20602,1383,silverblue,340000,intact,healthy,intact,intact,12,manual,140000000
wYzmxU5A,mashhad,peugeot20602,1383,silver,100000,minor_scratch,healthy,n/a,n/a,7,manual,160000000
wYz6gUFt,mashhad,peugeot20602,1383,beige,178000,minor_scratch,n/a,intact,intact,2,n/a,185000000
wYzKR7x2,mashhad,peugeot20602,1395,white,70000,intact,healthy,intact,intact,11,manual,345000000
wYzOhUtr,mashhad,peugeot20602,1390,ashgray,194000,minor_scratch,healthy,intact,intact,5,manual,250000000
wYz-gErV,mashhad,peugeot20602,1400,black,25000,intact,healthy,intact,intact,1,manual,433000000
wYzqATez,mashhad,peugeot20602,1401,white,90,intact,healthy,intact,intact,12,manual,460000000
wYzqD7Qi,mashhad,peugeot20602,1386,ashgray,250000,minor_scratch,healthy,intact,intact,2,manual,200000000
wYzKUlJ4,mashhad,peugeot20602,1399,seashell,40000,intact,healthy,intact,intact,11,manual,395000000
wYz-zcRM,mashhad,peugeot20602,1385,ashgray,400000,whole_colored,healthy,intact,intact,n/a,n/a,159500000
wYzWDTK7,mashhad,peugeot20602,1382,black,440000,minor_scratch,healthy,intact,intact,7,n/a,132000000
wYzKDylI,mashhad,peugeot20602,1396,white,75000,colored,healthy,intact,intact,10,manual,308000000
wYzSyGPH,mashhad,peugeot20602,1395,white,73000,minor_scratch,healthy,intact,intact,6,manual,322000000
wYzCyHk_,mashhad,peugeot20602,1390,white,170000,colored,healthy,intact,intact,7,manual,250000000
wYzGDCPw,mashhad,peugeot20602,1386,white,370000,round_colored,healthy,intact,intact,7,manual,190000000
wYz-iSc6,mashhad,peugeot20602,1398,white,30000,intact,healthy,intact,intact,3,manual,403000000
wYz2ybnm,mashhad,peugeot20602,1394,ashgray,76000,intact,healthy,intact,intact,9,manual,333000000
wYzOy04I,mashhad,peugeot20602,1389,white,215000,round_colored,healthy,intact,intact,7,manual,210000000
wYzqypbL,mashhad,peugeot20602,1395,white,105000,intact,healthy,intact,intact,6,manual,345000000
wYzeC72_,mashhad,peugeot20602,1396,white,122000,minor_scratch,healthy,intact,intact,10,manual,360000000
wYzOSITP,mashhad,peugeot20602,1389,white,275000,intact,healthy,intact,intact,4,manual,193000000
wYzCSxGA,mashhad,peugeot20602,1400,dimgray,31000,intact,healthy,intact,intact,n/a,manual,420000000
wYzmhS4g,mashhad,peugeot20602,1381,huntergreen,400000,colored,healthy,intact,intact,7,manual,139000000
wYzCBnN1,mashhad,peugeot20602,1395,white,186000,colored,healthy,intact,intact,6,manual,307000000
